gbifID,datasetKey,class,order,family,genus,species,year,month,day,decimalLongitude,decimalLatitude
1609380528,6ec2600f-768a-4240-9575-0972fef6c76f,,Cypriniformes,Cyprinidae,Alburnus,Alburnus alburnus,2009,,,26.285347,41.138892
1609380525,6ec2600f-768a-4240-9575-0972fef6c76f,,Cypriniformes,Cyprinidae,Alburnus,Alburnus alburnus,2009,,,26.273639,41.061058
1609380522,6ec2600f-768a-4240-9575-0972fef6c76f,,Cypriniformes,Cyprinidae,Alburnus,Alburnus alburnus,2009,,,26.107008,41.315033
1609380505,6ec2600f-768a-4240-9575-0972fef6c76f,,Cypriniformes,Cyprinidae,Alburnus,Alburnus alburnus,2009,,,26.258206,41.001372
1609380459,6ec2600f-768a-4240-9575-0972fef6c76f,,Cypriniformes,Cyprinidae,Alburnus,Alburnus alburnus,2006,,,24.129111,41.365325
1609380411,6ec2600f-768a-4240-9575-0972fef6c76f,,Cypriniformes,Cyprinidae,Alburnus,Alburnus alburnus,2006,,,24.104528,41.373756
2250562422,040c5662-da76-4782-a48e-cdea1892d14c,,Cypriniformes,Cyprinidae,Alburnus,Alburnus belvica,2010,4,28,21.0833,40.75
3774912097,9c0c7f86-142f-43e0-9162-3d1284cef41e,,Cypriniformes,Cyprinidae,Alburnus,Alburnus macedonicus,2005,5,30,22.7644,41.1877
3346835565,d8cd16ba-bb74-4420-821e-083f2bac17c2,,Cypriniformes,Cyprinidae,Alburnus,Alburnus macedonicus,2006,4,16,22.75,41.17
3774847752,9c0c7f86-142f-43e0-9162-3d1284cef41e,,Cypriniformes,Cyprinidae,Alburnus,Alburnus scoranza,2011,9,24,20.7445,40.0362
4009858385,50c9509d-22c7-4a22-a47d-8c48425ef4a7,,Cypriniformes,Cyprinidae,Alburnus,Alburnus thessalicus,2021,7,4,22.838356,40.63714
3774910632,9c0c7f86-142f-43e0-9162-3d1284cef41e,,Cypriniformes,Cyprinidae,Alburnus,Alburnus thessalicus,2011,9,27,22.5577,40.988
3774897573,9c0c7f86-142f-43e0-9162-3d1284cef41e,,Cypriniformes,Cyprinidae,Alburnus,Alburnus thessalicus,2011,9,28,22.2932,39.8077
